?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-1month-200401

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 1month
  time  = 200401
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.136917 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.836057 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.85185 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 2.561005 UNLIMITED
  Mannheim_Duesseldorf ( Mannheim Duesseldorf ) 1 0.050018 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 4.123112 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 19.10228 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 34.870531 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 1.693919 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 11.71407 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 2.599501 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 6.838843 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 1.232415 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 46.236787 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.498945 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.759448 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 83.442314 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 0.935893 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 15.501955 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.266718 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 3.754574 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 3.058173 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.019983 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 57.496743 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 1.348606 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.115089 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.112331 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 22.62821 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.155962 UNLIMITED
  Dortmund_Ulm ( Dortmund Ulm ) 1 0.032086 UNLIMITED
  Ulm_Norden ( Ulm Norden ) 1 0.000049 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 3.880656 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.874395 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 4.612271 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.524043 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 63.798157 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 266.784555 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 2.048649 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.135331 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.279679 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 16.362642 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 1.12109 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.0839 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 4.822573 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 95.732667 UNLIMITED
  Duesseldorf_Hannover ( Duesseldorf Hannover ) 1 0.509067 UNLIMITED
  Karlsruhe_Stuttgart ( Karlsruhe Stuttgart ) 1 2.925536 UNLIMITED
  Mannheim_Hamburg ( Mannheim Hamburg ) 1 1.010024 UNLIMITED
  Muenchen_Leipzig ( Muenchen Leipzig ) 1 29.541136 UNLIMITED
  Essen_Ulm ( Essen Ulm ) 1 0.031151 UNLIMITED
  Duesseldorf_Koeln ( Duesseldorf Koeln ) 1 0.260377 UNLIMITED
  Stuttgart_Hamburg ( Stuttgart Hamburg ) 1 2.839904 UNLIMITED
  Ulm_Muenchen ( Ulm Muenchen ) 1 1.076697 UNLIMITED
  Ulm_Hamburg ( Ulm Hamburg ) 1 0.005408 UNLIMITED
  Leipzig_Mannheim ( Leipzig Mannheim ) 1 0.717314 UNLIMITED
  Karlsruhe_Frankfurt ( Karlsruhe Frankfurt ) 1 17.166487 UNLIMITED
  Hannover_Ulm ( Hannover Ulm ) 1 0.247107 UNLIMITED
  Berlin_Koeln ( Berlin Koeln ) 1 3.050407 UNLIMITED
  Berlin_Duesseldorf ( Berlin Duesseldorf ) 1 0.104971 UNLIMITED
  Nuernberg_Koeln ( Nuernberg Koeln ) 1 0.866722 UNLIMITED
  Leipzig_Essen ( Leipzig Essen ) 1 2.620032 UNLIMITED
  Nuernberg_Essen ( Nuernberg Essen ) 1 0.110908 UNLIMITED
  Frankfurt_Koeln ( Frankfurt Koeln ) 1 101.048982 UNLIMITED
  Essen_Muenchen ( Essen Muenchen ) 1 383.014013 UNLIMITED
  Mannheim_Frankfurt ( Mannheim Frankfurt ) 1 48.263606 UNLIMITED
  Leipzig_Duesseldorf ( Leipzig Duesseldorf ) 1 0.769257 UNLIMITED
  Muenchen_Karlsruhe ( Muenchen Karlsruhe ) 1 1.367405 UNLIMITED
  Bremen_Frankfurt ( Bremen Frankfurt ) 1 100.142052 UNLIMITED
